,gene,kl_divergence,p_value,fdr
212,Fads1,0.1852514016832819,0.000999000999000999,0.004450398170876081
213,Kif1b,0.18542088879136925,0.000999000999000999,0.004450398170876081
214,Cox5b,0.1854323915075162,0.000999000999000999,0.004450398170876081
215,Arl6ip1,0.18633621966651986,0.000999000999000999,0.004450398170876081
216,Bsg,0.18661196334478514,0.000999000999000999,0.004450398170876081
217,Scg2,0.18678854609242196,0.000999000999000999,0.004450398170876081
218,H3f3a,0.18684962613041675,0.000999000999000999,0.004450398170876081
219,Uqcrh,0.18697270894028656,0.000999000999000999,0.004450398170876081
220,Mapk8ip1,0.18740707269740453,0.000999000999000999,0.004450398170876081
221,Aqp4,0.18774843280560422,0.000999000999000999,0.004450398170876081
222,Ank2,0.18810320723806395,0.000999000999000999,0.004450398170876081
223,Stmn3,0.18863720425080469,0.000999000999000999,0.004450398170876081
224,Gsk3b,0.1886524311691298,0.000999000999000999,0.004450398170876081
225,X2810407C02Rik,0.18870689723463352,0.000999000999000999,0.004450398170876081
226,Uqcr11,0.1887457216452746,0.000999000999000999,0.004450398170876081
227,Pebp1,0.18935854871725794,0.000999000999000999,0.004450398170876081
228,Oxr1,0.1902473702018171,0.000999000999000999,0.004450398170876081
229,Vdac1,0.19031237754710878,0.000999000999000999,0.004450398170876081
230,Nacc2,0.19035736884330437,0.000999000999000999,0.004450398170876081
231,Ndufa2,0.19036521673318463,0.000999000999000999,0.004450398170876081
232,Slc25a5,0.19045676656012017,0.000999000999000999,0.004450398170876081
233,Hnrnpa0,0.19108190962447474,0.000999000999000999,0.004450398170876081
234,Doc2g,0.19131800942409866,0.000999000999000999,0.004450398170876081
235,Cox5a,0.19136992704084227,0.000999000999000999,0.004450398170876081
236,Sparc,0.19139713231407374,0.000999000999000999,0.004450398170876081
237,A730098P11Rik,0.19146988584426478,0.000999000999000999,0.004450398170876081
238,Mir684.1,0.19147547769647177,0.000999000999000999,0.004450398170876081
239,Srsf5,0.1923022551286812,0.000999000999000999,0.004450398170876081
240,Gm13826,0.1923489181129117,0.000999000999000999,0.004450398170876081
241,Rpl8,0.19249872771785645,0.000999000999000999,0.004450398170876081
242,Mlc1,0.19321396652373385,0.000999000999000999,0.004450398170876081
243,Ids,0.19359364469629842,0.000999000999000999,0.004450398170876081
244,Hspa5,0.19405222673548783,0.000999000999000999,0.004450398170876081
245,Clu,0.19425567913092184,0.000999000999000999,0.004450398170876081
246,Set,0.1946804741880755,0.000999000999000999,0.004450398170876081
247,Mt3,0.19470766325751263,0.000999000999000999,0.004450398170876081
248,Hnrnpu,0.1947915130412266,0.000999000999000999,0.004450398170876081
