gene,cosine_similarity
Hnrnpul2,0.87041605
Syn2,0.87030315
Myo6,0.8702712
Pfdn5,0.8701864
Limch1,0.86980826
Mapt,0.8697326
Rpl22l1,0.8695188
Prkce,0.86946666
Rap1gds1,0.8694262
Mllt11,0.86927
Gpr37l1,0.8692547
Nufip2,0.8692174
Anks1b,0.8691528
Zfp91,0.8691019
Fndc5,0.8689174
Klhl9,0.868906
Gmfb,0.86879593
Prune2,0.8687901
Ssr1,0.8687219
Clcn4.2,0.8685723
Rps26,0.868505
Add3,0.8684708
Dynlt3,0.8684199
Bin1,0.86822647
Dnm1l,0.8680095
Rheb,0.867954
Agap2,0.8679042
C1qtnf4,0.86789536
Tnks2,0.86763626
Mgll,0.86752063
Srgap3,0.8673708
Sash1,0.8671663
Fhl1,0.8670969
Eno2,0.86708117
Sorbs1,0.86702853
Ndufb6,0.8668395
Xpr1,0.86682624
Gng3,0.86679864
Qdpr,0.86669123
Dnaja2,0.86646974
Zfp207,0.8663938
Ppp3cb,0.8663104
Med13,0.86627364
Ndufb4,0.86604464
Gabarap,0.86603266
Prrc2c,0.8659879
Cited2,0.86596644
Sdhc,0.86594164
Plp1,0.8657088
Ssb,0.86563617
Srsf6,0.86545694
Nfib,0.86521626
Faim2,0.86504793
Amfr,0.8649916
Scamp1,0.8649723
Vdac2,0.86454564
Kifap3,0.86451054
Ptprd,0.86449134
Selk,0.864405
Eif4g3,0.8638802
Nap1l1,0.8635763
Tshz1,0.86345136
Cdk16,0.86339974
Anp32e,0.86316407
Tax1bp1,0.86307144
Atp5k,0.8629054
Srpk2,0.8628492
Cox7a2l,0.86275685
Scp2,0.8627117
Trim44,0.8625322
Mif,0.86250985
Sfrs18,0.86231154
Eif5a,0.8622971
Selm,0.8622688
Cdc42se2,0.86223674
Rps15a,0.8622252
Sumo2,0.8620758
Tnrc6b,0.86143064
Tmed7,0.86137956
Lphn1,0.8613599
Spcs1,0.86132336
Cbx5,0.86127186
Akap11,0.8609952
Prex1,0.86098266
Rab3b,0.8609787
Cacnb4,0.8609686
Ppp1r2,0.8605033
Cdip1,0.86044645
Sp8,0.8604189
Lpgat1,0.8602682
Mprip,0.8602563
Tmem33,0.86000854
Fnbp1l,0.8599028
Rpl22,0.859854
Pak1,0.8598309
Ubr5,0.85974085
Sucla2,0.8595948
Rpl35,0.85957325
Ppp1r9b,0.8594885
Elovl5,0.85942286
Glyr1,0.8594212
Rab18,0.8593847
Golga4,0.8593829
Cxx1a,0.85917926
Herc2,0.85902786
Laptm4b,0.8588879
Celf1,0.8587379
Rpl37,0.85861945
Rundc3a,0.8584889
Acox1,0.85838336
Slc30a9,0.8580786
Cct2,0.85791713
Eef1g,0.85784656
Pafah1b2,0.8578249
Pik3r1,0.8578001
Snrk,0.85775167
Agap1,0.8577029
Uchl1,0.8575984
Chchd10,0.857454
Rps3a1,0.8573706
Rpl38,0.8573637
Ftl1,0.85730577
Ensa,0.85729414
Bclaf1,0.85719925
Marcksl1,0.856715
Timm8b,0.856594
Slc17a7,0.8564991
Gaa,0.8564789
Pdxk,0.8564403
Rab10,0.8564063
